LÍNEA,NOMBRE LÍNEA,DESTINO SECCIÓN,NODO,NOMBRE PARADA,LATITUD_WS84,LONGITUD_WS84
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,257,Avenida San Lázaro (Doctor Morote),37.41114,-5.98342371
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,225,Trabaj. Inmigrantes(Doctor Fedriani),37.4123154,-5.98237371
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,218,Trabaj. Inmigrantes (Diego Puerta),37.4110374,-5.98090744
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,253,Trabaj. Inmigrantes (Los Romeros),37.4084663,-5.97980261
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,47,Madreselva,37.4070168,-5.979545
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,48,Doctor Jiménez Díaz,37.4048347,-5.980532
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,49,Avenida La Cruz Roja (Antonio Machín),37.402874,-5.98139334
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,50,Avenida La Cruz Roja (Clínica),37.4006462,-5.98252773
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,21,Ronda de Capuchinos (La Trinidad),37.39768,-5.981503
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,785,María Auxiliadora (Puerta Osario),37.3941536,-5.983861
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,889,Recaredo (San Roque),37.39125,-5.98423672
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,2,Menéndez Pelayo (Puerta Carmona),37.38837,-5.9849925
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,3,Menéndez Pelayo (Puerta de La Carne),37.3861542,-5.98601961
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,987,Avenida Carlos V (Prado San Sebastián),37.3803444,-5.985953
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,53,Avenida La Borbolla (Capitanía),37.3774147,-5.98424435
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,54,Avenida La Borbolla (Montevideo),37.3742943,-5.98542166
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,55,Avenida La Borbolla (Plaza América),37.3723564,-5.98561764
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,56,Manuel Siurot (Edificio La Estrella),37.3676,-5.985317
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,57,Manuel Siurot (Cardenal Ilundain),37.3642159,-5.983418
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,58,Manuel Siurot (Hospital V.Rocio),37.3612862,-5.981879
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,574,Manuel Siurot (Francisco Murillo),37.359478,-5.98084068
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,59,Manuel Siurot (Carretera Su Eminencia),37.3574,-5.97977
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,1007,Ctra. Su Eminencia (Castillo de Marcheni,37.35654,-5.97569656
1,Pgno.Norte-Glorieta Plus Ultra,HOSPITAL V.ROCIO,430,Glorieta Plus Ultra,37.35699,-5.98031759
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,430,Glorieta Plus Ultra,37.35699,-5.98031759
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,566,Manuel Siurot (Rafael Salgado),37.3591766,-5.98063135
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,154,Manuel Siurot (Hospital V.Rocio),37.3610725,-5.981739
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,64,Manuel Siurot (Gustavo Gallardo),37.36523,-5.983751
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,65,Manuel Siurot (Edificio La Estrella),37.3674927,-5.98505449
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,66,Avenida La Borbolla (Felipe Ii),37.37235,-5.985392
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,67,Avenida La Borbolla (Montevideo),37.3742,-5.98521
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,68,Avda. La Borbolla (Dr. Pedro de Castro),37.3791,-5.9833
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,80,Prado San Sebastián (Carlos V,37.38067,-5.98674965
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,42,Menéndez Pelayo (Puerta de La Carne),37.3865166,-5.98555326
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,43,Menéndez Pelayo (Puerta Carmona),37.3896637,-5.984266
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,888,Recaredo (San Roque),37.3915443,-5.98412371
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,22,María Auxiliadora (Puerta Osario),37.3944931,-5.98359537
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,71,Avenida Miraflores (San Juan Bosco),37.39889,-5.98124552
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,72,Avenida Miraflores (Retiro Obrero),37.40166,-5.978467
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,73,Av. Miraflores (Sta. María de Ordás),37.4036446,-5.976589
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,110,Ronda de Pío XII (Avenida Pino Montano),37.40592,-5.97594833
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,836,Ronda de Pío XII (Begoña),37.4071541,-5.97825241
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,111,Sor Francisca Dorotea (Hdad. Trabajo),37.40734,-5.981036
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,256,Avenida San Lázaro (Los Romeros),37.4093475,-5.983
1,Pgno.Norte-Glorieta Plus Ultra,POLIGONO NORTE,257,Avenida San Lázaro (Doctor Morote),37.41114,-5.98342371
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,930,Resolana (Barqueta),37.4036942,-5.9940505
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,18,Resolana (Feria),37.40335,-5.99221849
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,238,San Juan de Ribera (Macarena),37.40355,-5.98723745
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,239,San Juan de Ribera (Policlínico),37.40543,-5.986315
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,77,Doctor Leal Castaños (Huerta del Carmen),37.4072762,-5.9841423
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,78,Sor Francisca Dorotea (Bda. La Barzola),37.4073029,-5.98078442
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,79,Ronda de Pío XII (Madreselva),37.4066658,-5.97769976
2,Barqueta-Glorieta Heliopolis,HELIOPOLIS   ,842,Avenida Llanes (Miraflores),37.4049873,-5.974567
