"DISTRITO","SECCION","BARRIO","EDAD","HOMBRES","MUJERES"
" 01"," 001","SANTA CATALINA"," 00",7,8
" 01"," 001","SANTA CATALINA"," 01",4,5
" 01"," 001","SANTA CATALINA"," 02",6,3
" 01"," 001","SANTA CATALINA"," 03",2,8
" 01"," 001","SANTA CATALINA"," 04",7,12
" 01"," 001","SANTA CATALINA"," 05",6,9
" 01"," 001","SANTA CATALINA"," 06",9,4
" 01"," 001","SANTA CATALINA"," 07",11,9
" 01"," 001","SANTA CATALINA"," 08",4,8
" 01"," 001","SANTA CATALINA"," 09",6,7
" 01"," 001","SANTA CATALINA"," 10",10,8
" 01"," 001","SANTA CATALINA"," 11",6,6
" 01"," 001","SANTA CATALINA"," 12",5,2
" 01"," 001","SANTA CATALINA"," 13",3,6
" 01"," 001","SANTA CATALINA"," 14",10,5
" 01"," 001","SANTA CATALINA"," 15",8,6
" 01"," 001","SANTA CATALINA"," 16",5,5
" 01"," 001","SANTA CATALINA"," 17",6,8
" 01"," 001","SANTA CATALINA"," 18",6,5
" 01"," 001","SANTA CATALINA"," 19",2,4
" 01"," 001","SANTA CATALINA"," 20",13,6
" 01"," 001","SANTA CATALINA"," 21",7,10
" 01"," 001","SANTA CATALINA"," 22",6,2
" 01"," 001","SANTA CATALINA"," 23",6,5
" 01"," 001","SANTA CATALINA"," 24",7,5
" 01"," 001","SANTA CATALINA"," 25",5,6
" 01"," 001","SANTA CATALINA"," 26",7,8
" 01"," 001","SANTA CATALINA"," 27",6,3
" 01"," 001","SANTA CATALINA"," 28",10,8
" 01"," 001","SANTA CATALINA"," 29",5,12
" 01"," 001","SANTA CATALINA"," 30",2,11
" 01"," 001","SANTA CATALINA"," 31",7,5
" 01"," 001","SANTA CATALINA"," 32",13,10
" 01"," 001","SANTA CATALINA"," 33",15,13
" 01"," 001","SANTA CATALINA"," 34",13,12
" 01"," 001","SANTA CATALINA"," 35",10,13
" 01"," 001","SANTA CATALINA"," 36",10,8
" 01"," 001","SANTA CATALINA"," 37",14,15
" 01"," 001","SANTA CATALINA"," 38",11,9
" 01"," 001","SANTA CATALINA"," 39",10,11
" 01"," 001","SANTA CATALINA"," 40",9,14
" 01"," 001","SANTA CATALINA"," 41",20,12
" 01"," 001","SANTA CATALINA"," 42",17,10
" 01"," 001","SANTA CATALINA"," 43",9,8
" 01"," 001","SANTA CATALINA"," 44",9,15
" 01"," 001","SANTA CATALINA"," 45",15,12
" 01"," 001","SANTA CATALINA"," 46",7,11
" 01"," 001","SANTA CATALINA"," 47",10,18
" 01"," 001","SANTA CATALINA"," 48",13,9
" 01"," 001","SANTA CATALINA"," 49",15,14
" 01"," 001","SANTA CATALINA"," 50",16,16
" 01"," 001","SANTA CATALINA"," 51",18,16
" 01"," 001","SANTA CATALINA"," 52",13,13
" 01"," 001","SANTA CATALINA"," 53",16,13
" 01"," 001","SANTA CATALINA"," 54",11,10
" 01"," 001","SANTA CATALINA"," 55",8,17
" 01"," 001","SANTA CATALINA"," 56",11,16
" 01"," 001","SANTA CATALINA"," 57",9,15
" 01"," 001","SANTA CATALINA"," 58",13,5
" 01"," 001","SANTA CATALINA"," 59",8,12
" 01"," 001","SANTA CATALINA"," 60",9,9
" 01"," 001","SANTA CATALINA"," 61",9,9
" 01"," 001","SANTA CATALINA"," 62",8,8
" 01"," 001","SANTA CATALINA"," 63",5,12
" 01"," 001","SANTA CATALINA"," 64",8,7
" 01"," 001","SANTA CATALINA"," 65",5,6
" 01"," 001","SANTA CATALINA"," 66",2,6
" 01"," 001","SANTA CATALINA"," 67",7,5
" 01"," 001","SANTA CATALINA"," 68",5,7
" 01"," 001","SANTA CATALINA"," 69",6,6
" 01"," 001","SANTA CATALINA"," 70",1,11
" 01"," 001","SANTA CATALINA"," 71",8,5
" 01"," 001","SANTA CATALINA"," 72",4,3
" 01"," 001","SANTA CATALINA"," 73",2,5
" 01"," 001","SANTA CATALINA"," 74",3,2
" 01"," 001","SANTA CATALINA"," 75",5,4
" 01"," 001","SANTA CATALINA"," 76",3,7
" 01"," 001","SANTA CATALINA"," 77",3,3
" 01"," 001","SANTA CATALINA"," 78",3,7
" 01"," 001","SANTA CATALINA"," 79",3,3
" 01"," 001","SANTA CATALINA"," 80",3,3
" 01"," 001","SANTA CATALINA"," 81",3,5
" 01"," 001","SANTA CATALINA"," 82",1,6
" 01"," 001","SANTA CATALINA"," 83",0,4
" 01"," 001","SANTA CATALINA"," 84",0,5
" 01"," 001","SANTA CATALINA"," 85",2,2
" 01"," 001","SANTA CATALINA"," 86",0,3
" 01"," 001","SANTA CATALINA"," 87",2,5
" 01"," 001","SANTA CATALINA"," 88",1,3
" 01"," 001","SANTA CATALINA"," 89",0,2
" 01"," 001","SANTA CATALINA","90 y más años",2,7
" 01"," 002","FERIA"," 00",4,8
" 01"," 002","FERIA"," 01",2,3
" 01"," 002","FERIA"," 02",3,3
" 01"," 002","FERIA"," 03",5,5
" 01"," 002","FERIA"," 04",2,6
" 01"," 002","FERIA"," 05",6,7
" 01"," 002","FERIA"," 06",4,8
" 01"," 002","FERIA"," 07",4,3
" 01"," 002","FERIA"," 08",4,4
" 01"," 002","FERIA"," 09",2,4
" 01"," 002","FERIA"," 10",6,6
" 01"," 002","FERIA"," 11",3,7
" 01"," 002","FERIA"," 12",1,2
" 01"," 002","FERIA"," 13",4,4
" 01"," 002","FERIA"," 14",2,4
" 01"," 002","FERIA"," 15",7,5
" 01"," 002","FERIA"," 16",4,4
" 01"," 002","FERIA"," 17",2,4
" 01"," 002","FERIA"," 18",1,4
" 01"," 002","FERIA"," 19",4,5
" 01"," 002","FERIA"," 20",2,5
" 01"," 002","FERIA"," 21",7,1
" 01"," 002","FERIA"," 22",4,3
" 01"," 002","FERIA"," 23",13,4
" 01"," 002","FERIA"," 24",2,2
" 01"," 002","FERIA"," 25",6,6
" 01"," 002","FERIA"," 26",13,10
" 01"," 002","FERIA"," 27",7,3
" 01"," 002","FERIA"," 28",4,9
" 01"," 002","FERIA"," 29",5,6
" 01"," 002","FERIA"," 30",6,8
" 01"," 002","FERIA"," 31",5,5
" 01"," 002","FERIA"," 32",7,10
" 01"," 002","FERIA"," 33",10,10
" 01"," 002","FERIA"," 34",11,4
" 01"," 002","FERIA"," 35",7,11
" 01"," 002","FERIA"," 36",6,5
" 01"," 002","FERIA"," 37",5,1
" 01"," 002","FERIA"," 38",11,8
" 01"," 002","FERIA"," 39",9,10
" 01"," 002","FERIA"," 40",9,10
" 01"," 002","FERIA"," 41",6,6
" 01"," 002","FERIA"," 42",12,13
" 01"," 002","FERIA"," 43",7,7
" 01"," 002","FERIA"," 44",5,12
" 01"," 002","FERIA"," 45",11,11
" 01"," 002","FERIA"," 46",10,9
" 01"," 002","FERIA"," 47",5,5
" 01"," 002","FERIA"," 48",7,7
" 01"," 002","FERIA"," 49",7,10
" 01"," 002","FERIA"," 50",6,12
" 01"," 002","FERIA"," 51",8,7
" 01"," 002","FERIA"," 52",10,6
" 01"," 002","FERIA"," 53",7,6
" 01"," 002","FERIA"," 54",6,4
" 01"," 002","FERIA"," 55",4,9
" 01"," 002","FERIA"," 56",11,10
" 01"," 002","FERIA"," 57",5,9
" 01"," 002","FERIA"," 58",10,6
" 01"," 002","FERIA"," 59",4,8
" 01"," 002","FERIA"," 60",9,7
" 01"," 002","FERIA"," 61",5,3
" 01"," 002","FERIA"," 62",6,3
" 01"," 002","FERIA"," 63",9,5
" 01"," 002","FERIA"," 64",3,4
" 01"," 002","FERIA"," 65",7,5
" 01"," 002","FERIA"," 66",1,4
" 01"," 002","FERIA"," 67",3,5
" 01"," 002","FERIA"," 68",5,7
" 01"," 002","FERIA"," 69",3,8
" 01"," 002","FERIA"," 70",5,4
" 01"," 002","FERIA"," 71",5,6
" 01"," 002","FERIA"," 72",3,9
" 01"," 002","FERIA"," 73",1,4
" 01"," 002","FERIA"," 74",4,9
" 01"," 002","FERIA"," 75",3,3
" 01"," 002","FERIA"," 76",10,6
" 01"," 002","FERIA"," 77",0,4
" 01"," 002","FERIA"," 78",0,2
" 01"," 002","FERIA"," 79",4,2
" 01"," 002","FERIA"," 80",4,6
" 01"," 002","FERIA"," 81",0,8
" 01"," 002","FERIA"," 82",1,3
" 01"," 002","FERIA"," 83",3,4
" 01"," 002","FERIA"," 84",1,1
" 01"," 002","FERIA"," 86",0,2
" 01"," 002","FERIA"," 87",1,3
" 01"," 002","FERIA"," 88",0,4
" 01"," 002","FERIA"," 89",0,1
" 01"," 002","FERIA","90 y más años",0,2
" 01"," 003","FERIA"," 00",2,3
" 01"," 003","FERIA"," 01",3,4
" 01"," 003","FERIA"," 02",3,2
" 01"," 003","FERIA"," 03",0,2
" 01"," 003","FERIA"," 04",6,0
" 01"," 003","FERIA"," 05",2,2
" 01"," 003","FERIA"," 06",2,4
" 01"," 003","FERIA"," 07",1,3
" 01"," 003","FERIA"," 08",7,2
" 01"," 003","FERIA"," 09",4,3
" 01"," 003","FERIA"," 10",8,6
" 01"," 003","FERIA"," 11",2,3
" 01"," 003","FERIA"," 12",0,3
" 01"," 003","FERIA"," 13",3,1
" 01"," 003","FERIA"," 14",1,1
" 01"," 003","FERIA"," 15",4,1
" 01"," 003","FERIA"," 16",5,1
" 01"," 003","FERIA"," 17",2,3
" 01"," 003","FERIA"," 18",4,3
" 01"," 003","FERIA"," 19",5,2
" 01"," 003","FERIA"," 20",2,2
" 01"," 003","FERIA"," 21",3,2
" 01"," 003","FERIA"," 22",3,1
" 01"," 003","FERIA"," 23",0,3
" 01"," 003","FERIA"," 24",4,3
" 01"," 003","FERIA"," 25",6,2
" 01"," 003","FERIA"," 26",4,5
" 01"," 003","FERIA"," 27",9,6
" 01"," 003","FERIA"," 28",3,3
" 01"," 003","FERIA"," 29",6,6
" 01"," 003","FERIA"," 30",12,6
" 01"," 003","FERIA"," 31",4,2
" 01"," 003","FERIA"," 32",3,3
" 01"," 003","FERIA"," 33",5,7
" 01"," 003","FERIA"," 34",3,4
" 01"," 003","FERIA"," 35",9,5
" 01"," 003","FERIA"," 36",10,8
" 01"," 003","FERIA"," 37",14,14
" 01"," 003","FERIA"," 38",10,8
" 01"," 003","FERIA"," 39",8,4
" 01"," 003","FERIA"," 40",8,9
" 01"," 003","FERIA"," 41",6,6
" 01"," 003","FERIA"," 42",8,4
" 01"," 003","FERIA"," 43",8,7
" 01"," 003","FERIA"," 44",4,9
" 01"," 003","FERIA"," 45",8,8
" 01"," 003","FERIA"," 46",8,3
" 01"," 003","FERIA"," 47",7,7
" 01"," 003","FERIA"," 48",13,9
" 01"," 003","FERIA"," 49",2,6
" 01"," 003","FERIA"," 50",4,5
" 01"," 003","FERIA"," 51",4,8
" 01"," 003","FERIA"," 52",12,8
" 01"," 003","FERIA"," 53",8,3
" 01"," 003","FERIA"," 54",9,6
" 01"," 003","FERIA"," 55",4,12
" 01"," 003","FERIA"," 56",7,5
" 01"," 003","FERIA"," 57",6,5
" 01"," 003","FERIA"," 58",7,1
" 01"," 003","FERIA"," 59",5,4
" 01"," 003","FERIA"," 60",4,4
" 01"," 003","FERIA"," 61",6,7
" 01"," 003","FERIA"," 62",10,4
" 01"," 003","FERIA"," 63",7,2
" 01"," 003","FERIA"," 64",4,4
" 01"," 003","FERIA"," 65",4,2
" 01"," 003","FERIA"," 66",5,6
" 01"," 003","FERIA"," 67",6,4
" 01"," 003","FERIA"," 68",2,3
" 01"," 003","FERIA"," 69",1,3
" 01"," 003","FERIA"," 70",0,3
" 01"," 003","FERIA"," 71",1,5
" 01"," 003","FERIA"," 72",3,3
" 01"," 003","FERIA"," 73",3,0
" 01"," 003","FERIA"," 74",1,3
" 01"," 003","FERIA"," 75",3,2
" 01"," 003","FERIA"," 76",2,0
" 01"," 003","FERIA"," 77",2,3
" 01"," 003","FERIA"," 78",3,4
" 01"," 003","FERIA"," 79",0,2
" 01"," 003","FERIA"," 80",2,4
" 01"," 003","FERIA"," 81",1,1
" 01"," 003","FERIA"," 82",1,2
" 01"," 003","FERIA"," 83",1,4
" 01"," 003","FERIA"," 84",2,2
" 01"," 003","FERIA"," 85",2,2
" 01"," 003","FERIA"," 86",1,3
" 01"," 003","FERIA"," 87",0,1
" 01"," 003","FERIA"," 88",0,1
" 01"," 003","FERIA"," 89",0,2
" 01"," 003","FERIA","90 y más años",4,2
" 01"," 004","ENCARNACI¿N-REGINA"," 00",5,3
" 01"," 004","ENCARNACI¿N-REGINA"," 01",4,2
" 01"," 004","ENCARNACI¿N-REGINA"," 02",2,4
" 01"," 004","ENCARNACI¿N-REGINA"," 03",2,1
" 01"," 004","ENCARNACI¿N-REGINA"," 04",2,3
" 01"," 004","ENCARNACI¿N-REGINA"," 05",1,7
" 01"," 004","ENCARNACI¿N-REGINA"," 06",5,3
" 01"," 004","ENCARNACI¿N-REGINA"," 07",5,4
" 01"," 004","ENCARNACI¿N-REGINA"," 08",2,4
" 01"," 004","ENCARNACI¿N-REGINA"," 09",8,5
" 01"," 004","ENCARNACI¿N-REGINA"," 10",3,2
" 01"," 004","ENCARNACI¿N-REGINA"," 11",5,3
" 01"," 004","ENCARNACI¿N-REGINA"," 12",0,6
" 01"," 004","ENCARNACI¿N-REGINA"," 13",4,8
" 01"," 004","ENCARNACI¿N-REGINA"," 14",1,6
" 01"," 004","ENCARNACI¿N-REGINA"," 15",0,6
" 01"," 004","ENCARNACI¿N-REGINA"," 16",6,6
" 01"," 004","ENCARNACI¿N-REGINA"," 17",3,4
" 01"," 004","ENCARNACI¿N-REGINA"," 18",2,1
" 01"," 004","ENCARNACI¿N-REGINA"," 19",0,3
" 01"," 004","ENCARNACI¿N-REGINA"," 20",2,5
